cert_shortname,domain_shortname,objective_shortname,objective_fullname
security_plus_sy0_701,general_concepts,sy701_1_1,"Compare and contrast various types of security controls"
security_plus_sy0_701,general_concepts,sy701_1_2,"Summarize fundamental security concepts"
security_plus_sy0_701,general_concepts,sy701_1_3,"Explain the importance of change management processes and the impact to security"
security_plus_sy0_701,general_concepts,sy701_1_4,"Explain the importance of using appropriate cryptographic solutions"
security_plus_sy0_701,threats_vulns,sy701_2_1,"Compare and contrast common threat actors and motivations"
security_plus_sy0_701,threats_vulns,sy701_2_2,"Explain common threat vectors and attack surfaces"
security_plus_sy0_701,threats_vulns,sy701_2_3,"Explain various types of vulnerabilities"
security_plus_sy0_701,threats_vulns,sy701_2_4,"Given a scenario, analyze indicators of malicious activity"
security_plus_sy0_701,threats_vulns,sy701_2_5,"Explain the purpose of mitigation techniques used to secure the enterprise"
security_plus_sy0_701,security_architecture,sy701_3_1,"Compare and contrast security implications of different architecture models"
security_plus_sy0_701,security_architecture,sy701_3_2,"Given a scenario, apply security principles to secure enterprise infrastructure"
security_plus_sy0_701,security_architecture,sy701_3_3,"Compare and contrast concepts and strategies to protect data"
security_plus_sy0_701,security_architecture,sy701_3_4,"Explain the importance of resilience and recovery in security architecture"
security_plus_sy0_701,security_operations,sy701_4_1,"Given a scenario, apply common security techniques to computing resources"
security_plus_sy0_701,security_operations,sy701_4_2,"Explain the security implications of proper hardware, software, and data asset management"
security_plus_sy0_701,security_operations,sy701_4_3,"Explain various activities associated with vulnerability management"
security_plus_sy0_701,security_operations,sy701_4_4,"Explain security alerting and monitoring concepts and tools"
security_plus_sy0_701,security_operations,sy701_4_5,"Given a scenario, modify enterprise capabilities to enhance security"
security_plus_sy0_701,security_operations,sy701_4_6,"Given a scenario, implement and maintain identity and access management"
security_plus_sy0_701,security_operations,sy701_4_7,"Explain the importance of automation and orchestration related to secure operations"
security_plus_sy0_701,security_operations,sy701_4_8,"Explain appropriate incident response activities"
security_plus_sy0_701,security_operations,sy701_4_9,"Given a scenario, use data sources to support an investigation"
security_plus_sy0_701,program_management,sy701_5_1,"Summarize elements of effective security governance"
security_plus_sy0_701,program_management,sy701_5_2,"Explain elements of the risk management process"
security_plus_sy0_701,program_management,sy701_5_3,"Explain the processes associated with third-party risk assessment and management"
security_plus_sy0_701,program_management,sy701_5_4,"Summarize elements of effective security compliance"
security_plus_sy0_701,program_management,sy701_5_5,"Explain types and purposes of audits and assessments"
security_plus_sy0_701,program_management,sy701_5_6,"Given a scenario, implement security awareness practices"
