cert_shortname,domain_shortname,objective_shortname,objective_fullname
network_plus_n10_009,network_fundamentals,n10009_1_1,"Explain concepts related to the Open Systems Interconnection (OSI) reference model"
network_plus_n10_009,network_fundamentals,n10009_1_2,"Compare and contrast networking appliances, applications, and functions"
network_plus_n10_009,network_fundamentals,n10009_1_3,"Summarize cloud concepts and connectivity options"
network_plus_n10_009,network_fundamentals,n10009_1_4,"Explain common networking ports, protocols, services, and traffic types"
network_plus_n10_009,network_fundamentals,n10009_1_5,"Compare and contrast transmission media and transceivers"
network_plus_n10_009,network_fundamentals,n10009_1_6,"Compare and contrast network topologies, architectures, and types"
network_plus_n10_009,network_fundamentals,n10009_1_7,"Given a scenario, use appropriate IPv4 network addressing"
network_plus_n10_009,network_fundamentals,n10009_1_8,"Summarize evolving use cases for modern network environments"
network_plus_n10_009,network_impl,n10009_2_1,"Explain characteristics of routing technologies"
network_plus_n10_009,network_impl,n10009_2_2,"Given a scenario, configure switching technologies and features"
network_plus_n10_009,network_impl,n10009_2_3,"Given a scenario, select and configure wireless devices and technologies"
network_plus_n10_009,network_impl,n10009_2_4,"Explain important factors of physical installations"
network_plus_n10_009,network_ops,n10009_3_1,"Explain the purpose of organizational processes and procedures"
network_plus_n10_009,network_ops,n10009_3_2,"Given a scenario, use network monitoring technologies"
network_plus_n10_009,network_ops,n10009_3_3,"Explain disaster recovery (DR) concepts"
network_plus_n10_009,network_ops,n10009_3_4,"Given a scenario, implement IPv4 and IPv6 network services"
network_plus_n10_009,network_ops,n10009_3_5,"Compare and contrast network access and management methods"
network_plus_n10_009,network_security,n10009_4_1,"Explain the importance of basic network security concepts"
network_plus_n10_009,network_security,n10009_4_2,"Summarize various types of attacks and their impact to the network"
network_plus_n10_009,network_security,n10009_4_3,"Given a scenario, apply network security features, defense techniques, and solutions"
network_plus_n10_009,network_troubleshoot,n10009_5_1,"Explain the troubleshooting methodology"
network_plus_n10_009,network_troubleshoot,n10009_5_2,"Given a scenario, troubleshoot common cabling and physical interface issues"
network_plus_n10_009,network_troubleshoot,n10009_5_3,"Given a scenario, troubleshoot common issues with network services"
network_plus_n10_009,network_troubleshoot,n10009_5_4,"Given a scenario, troubleshoot common performance issues"
network_plus_n10_009,network_troubleshoot,n10009_5_5,"Given a scenario, use the appropriate tool or protocol to solve networking issues"
